video_id,views,dislikes,likes,comment_count
K6s6-kyhGME,9876,6,152,3
S-KMnvZFxFE,827215,101,1656,1352
515lLZS082U,4046720,3222,68563,3700
BaBwgq_I-80,157045,654,7020,675
ToYeyRA6xvc,599202,395,14850,5429
hFay0SVFxVI,372889,303,7362,435
Hu6EmxlhKH8,54582,98,3208,289
XVbcU5YYoIE,591472,187,25667,2951
qYMv5cE8RFI,117711,123,1223,392
94IAJAbHe0M,235185,203,1496,26
m640KLd6VMs,10760,7,532,237
mQk_BAgzhWE,344388,430,11743,821
zirTHK6RrnA,45392,44,551,159
cZNmJpdRQF8,6734,1,12,12
FKA-Jy6nuE0,69795,75,1629,50
APrHdur5x1M,20106,21,734,181
ppaODKFQlcw,42903,167,2751,31
ng2UPlRDwik,47985,231,1876,215
RgWYJFHu4xw,2484,9,194,11
ff5ov4l1ILA,41538,6,1211,84
M8HV1Jn2GHg,12147,24,72,21
am7Bex9I_4c,53949,601,1288,644
QRWKeEAqYiA,20586,26,116,75
BT5O3Ex4xbc,212240,243,11421,2382
oO9ormPTgTA,33258,11,2037,87
nWc583Vgg1s,1835734,1758,30492,3761
IR8k4uYnTfI,11503,60,304,60
YapJ00SIiLw,10566,4,1394,88
JCy-nLzlTKs,18930,35,791,137
XoTeknAUY6Q,692975,1293,8206,1571
zvz7K0xjl6U,1666070,3200,93398,17289
P49ckfxLGy4,935486,1759,4518,1132
Gj2_zwC_WgU,25020,18,1980,72
avZrwfr7NSI,5824,1,114,7
gOM4SHhxVxo,2361,1,20,1
JABXxcHa00Q,155583,114,431,86
RI2hHnLZRfs,94753,112,882,226
BVP9Cq5IFcU,174000,512,5873,1787
VvEGctiW7io,403529,130,8006,351
l4QszvoU1zA,93268,44,389,147
zZwSfVpSjtA,85533,232,2260,458
SiOAY1gPM-0,5908,15,209,141
vDtyaRoonx4,8715134,13648,395480,66464
d9aIHhsjupk,48882,3,76,3
u-Eg8Lwx7jI,109466,130,2360,156
A_yiL6YB7LE,499767,660,24625,3813
CVPp5FtQN8E,2082,0,20,5
B3JFSL8AA70,1018308,3116,34785,4908
8kM3sWAZ2tk,103563,65,254,25
z0ee2GflnvY,19483,7,1164,133
Q0xOUiEVj_4,5026,3,188,24
M4vnmgZLA8s,14271333,28862,240575,21473
iM4lgtCFMGw,1124072,323,8909,4117
JKpjts9zGt4,3591,6,432,153
PuM8ddAyGCU,41317,110,6392,781
0TNSxf3jkJg,28175,29,276,95
l3qSnQ8bw8o,5739,7,1067,262
HMKoFuOzkxc,467756,591,8157,1008
oGYa2aOo8aY,7875,14,54,54
7RkIBkYcEVE,5132,20,165,22
FYf4V6XFIFA,20545,15,98,81
xn3GPutONZs,4401,3,135,11
10hea_HyVEU,8662,5,45,1
qzY4nAQ7s0I,26895,35,101,103
iWgHSAdvhCI,523176,3631,24702,1543
f-lbB-MMB-c,23751,9,157,27
kGCTIm8k5Mc,205477,90,302,329
OdOmKn6Cn9s,93486,89,306,72
G3O8xd5QYts,44029,18,59,295
E0cbWdlQg_8,4126161,3234,54797,4451
an3zg4rb018,6291,142,67,262
HL2sw7fGuw8,377990,1687,28264,8518
knaCsR6dr58,9429300,49250,476855,36802
zC5x-irk6QY,66203,100,3632,637
RahMS8W-sEQ,26591,159,362,299
mVvAmodonHI,243944,147,574,144
BqLwMIA-HlY,96463,261,307,832
cnzm-s25UcA,275221,242,17515,894
BTL6CvLrBEs,102528,104,1211,150
dXE3-KAEheM,122788,59,2037,228
PN16-ajSxi4,295452,611,2142,409
5PrSdR8M1vs,311803,374,13269,501
e3cAjHLA-iU,5386,2,7,1
N6CKlKXsOsk,73216,193,5833,392
96zwdKf_sUA,313328,460,8890,1557
zezo-yUkUMI,1818,2,64,26
lt-kScjMs3E,9499,26,21,30
D1E0F6hAO9I,1220181,593,51605,1418
3jDYE9txPoM,155403,136,5791,61
V1MkfInxeMQ,218491,681,1645,127
tM_nZDJIwFw,646784,868,9546,2923
VK2FugFUm0M,106353,136,1762,208
yAc-bNoL4sk,103304,98,6729,832
nthAQ_ICbCc,1595,0,37,9
ZruC_ymiJkk,61453,30,333,110
dvYY15R7nYY,4469,1,18,1
KsAq4pnNx_Y,335431,2033,14393,1549
ATHxWkDNnVg,37138,33,2345,497
MXcngbOxn1Y,196998,233,2699,718
OXztwkG66PQ,114655,40,594,198
u1Qj3LGyZXw,10308,17,110,47
AJm6euyIc5o,19791,496,1554,648
g2dR2k_JIHg,9482,11,229,62
3dObRgjxhfM,12759,3,1239,78
zycRFTif1TQ,11297,13,298,162
BSTz3_WZ-7E,191483,0,0,301
CfVMIcP1FdY,76211,196,3480,236
j7Bf18pGjAE,408487,39586,14196,20234
O9zZp657j3Q,15078,14,1795,344
cWq82M4leGw,10602,5,334,98
ZANqw73F9Pw,1184957,513,31271,1610
O-9L1JQRE-4,508604,684,4908,2677
9_LIP7qguYw,3162367,5583,74545,8200
rUG2eFnZD0c,95406,40,858,61
CXNrP5QOstA,67022,84,384,17
zsoh0Y_VXdY,656819,433,11856,1630
GTE-ZX6aRfc,138636,1581,8480,997
B7kd203N2L0,43186,103,2741,731
J-4FaTv1mcM,906145,671,40059,4523
-KB5QbOS4s4,1029141,990,26448,3284
